time_us,q0,q1,q2,q3,wx,wy,wz,motor1,motor2,motor3,motor4
243145203,-0.6629269107364795,-0.03613420127331793,0.004515559912616465,0.7477979942727868,0.05939924344420433,0.0506267212331295,0.02622362971305847,1641.0,1640.0,1640.0,1641.0
243245163,-0.6630069838856333,-0.03441330234532171,0.005611602514746017,0.7478007581286487,-0.09300263971090317,-0.10882403701543808,0.03137882053852081,1640.0,1641.0,1641.0,1640.0
243345123,-0.662888720853846,-0.03662562255345201,0.007551623658674327,0.7477834449340542,0.11124696582555771,0.0532289557158947,0.03175417333841324,1641.0,1640.0,1640.0,1641.0
243445083,-0.6627610797603994,-0.03880428378956913,0.010042679337641098,0.7477573960223526,0.06936816871166229,0.06409881263971329,0.028676200658082962,1640.0,1641.0,1640.0,1640.0
243545043,-0.6626233005866159,-0.041017072595945725,0.012438403240187622,0.7477253823431385,0.10826153308153152,0.0023842828813940287,0.022366292774677277,1641.0,1640.0,1640.0,1641.0
243645003,-0.6624535340695192,-0.043624333246561356,0.013786527895339835,0.7477045970142141,0.11558622866868973,0.06717812269926071,0.023794883862137794,1641.0,1640.0,1641.0,1640.0
243744963,-0.6623765406381471,-0.04475270812095494,0.012753901265366255,0.7477244489319544,-0.09115765988826752,0.015721520408988,0.02423791214823723,1640.0,1641.0,1640.0,1641.0
243844923,-0.6623843033271694,-0.04452180486364308,0.012838024498299308,0.747729916964973,0.0814560204744339,0.07444542646408081,0.024281134828925133,1641.0,1640.0,1640.0,1641.0
243944883,-0.662542432533506,-0.041876448008287784,0.012234978494413037,0.7477527622791073,-0.0414118766784668,-0.05693461373448372,0.024519897997379303,1640.0,1641.0,1641.0,1640.0
244044843,-0.6625325021631453,-0.04191343254468362,0.012719305429100356,0.7477514072331563,-0.02429680898785591,0.056209173053503036,0.028767768293619156,1641.0,1641.0,1640.0,1641.0
244144803,-0.6624589184890746,-0.042985888137301045,0.01316401361094809,0.7477480213821925,0.019734377041459084,-0.004152968060225248,0.024886807426810265,1640.0,1641.0,1641.0,1640.0
244244763,-0.6621762429286223,-0.047221849901670415,0.013122201500206862,0.7477436245268737,-0.009496190585196018,0.07008219510316849,0.022157292813062668,1641.0,1641.0,1641.0,1641.0
244344723,-0.6619112904052957,-0.05084735264875609,0.012923802479846518,0.7477439171882786,0.13518841564655304,0.15192252397537231,0.018999343737959862,1641.0,1640.0,1640.0,1641.0
244445516,-0.6618430687110529,-0.05170108681948315,0.01218650204091814,0.7477581421748797,0.08015064150094986,0.11577056348323822,0.02466828003525734,1641.0,1641.0,1641.0,1641.0
244545476,-0.6617313041573823,-0.053183934095888986,0.010090123587968385,0.7477842868489775,0.06514232605695724,0.08524790406227112,0.02058657631278038,1641.0,1640.0,1641.0,1641.0
244645436,-0.6618206812319408,-0.051866290915553726,0.010574966733217832,0.7477910428983114,-0.061287444084882736,-1.2406397218001075e-05,0.025790752843022346,1641.0,1641.0,1641.0,1641.0
244745396,-0.6618662927665655,-0.05099726146914511,0.010925736010972919,0.747805401233977,-0.014275508001446724,0.004132557660341263,0.0012267925776541233,1641.0,1641.0,1641.0,1641.0
244845356,-0.6620013024862713,-0.048659977787185754,0.011615145182388369,0.7478312446472287,-0.02008742466568947,-0.1071702241897583,-0.0030150748789310455,1641.0,1641.0,1641.0,1640.0
244945316,-0.6620657107581228,-0.04760695036194963,0.011664248277395973,0.7478412386514265,0.007933824323117733,0.01554932538419962,0.037210628390312195,1641.0,1641.0,1640.0,1641.0
245045276,-0.6621821523558392,-0.04595968887084518,0.01257746070975159,0.7478263913385099,0.006438146810978651,-0.03243885934352875,0.05142214521765709,1641.0,1641.0,1641.0,1641.0
245145236,-0.6623124512520993,-0.04403779075856845,0.013723158536975992,0.747806502259314,0.008696364238858223,-0.021047426387667656,0.048785462975502014,1640.0,1641.0,1641.0,1640.0
245245196,-0.6622417007150863,-0.04516901621435936,0.014287326723047403,0.7477911219741284,0.07398372143507004,-0.030390404164791107,0.035468101501464844,1641.0,1640.0,1641.0,1641.0
245345156,-0.6624453786697289,-0.04190343807819156,0.013465983609917645,0.7478160799566724,-0.038440410047769547,-0.013517623767256737,0.03119923546910286,1641.0,1641.0,1641.0,1641.0
245445116,-0.6625994057355272,-0.039247682957950225,0.01280702299955612,0.7478352940743351,-0.024562133476138115,-0.010189681313931942,0.03397427871823311,1641.0,1641.0,1641.0,1641.0
245545076,-0.662675650985301,-0.037905512134871984,0.011411969585793633,0.7478595594703418,-0.018469443544745445,0.042318329215049744,0.03608370199799538,1641.0,1641.0,1641.0,1641.0
245645036,-0.6626877876686713,-0.0377484337767451,0.009518513088718539,0.7478832460556826,-0.011251668445765972,0.038987305015325546,0.035468410700559616,1641.0,1641.0,1641.0,1641.0
